year,state,state_abv,total_ballots_counted,vap,noncitizen_pct,ineligible_prison,ineligible_probation,ineligible_parole,ineligible_felons_total,eligible_overseas,vep,vep_turnout_rate,vap_turnout_rate,election_type
2018,South Carolina,SC,1726527,3997248,0.0329,18613,18226,4980,41819,NA,3823919,0.4515,0.43190000000000006,midterm
2018,South Dakota,SD,341048,664037,0.0222,3867,0,3201,7068,NA,642227,0.531,0.5136,midterm
2018,Tennessee,TN,2267428,5281898,0.0348,26120,34914,10842,71876,NA,5026212,0.4511,0.4293,midterm
2018,Texas,TX,8375000,21367177,0.12209999999999999,154935,209855,109213,474003,NA,18284242,0.45799999999999996,0.392,midterm
2018,Utah,UT,1082972,2240839,0.059000000000000004,6288,0,0,6288,NA,2102342,0.5151,0.4833,midterm
2018,Vermont,VT,278230,509304,0.0197,0,0,0,0,NA,499271,0.5573,0.5463,midterm
2018,Virginia,VA,3363505,6648405,0.0601,35754,35973,1860,73587,NA,6175249,0.5447,0.5059,midterm
2018,Washington,WA,3133448,5894441,0.08800000000000001,18787,43703,12222,74712,NA,5301018,0.5911,0.5316000000000001,midterm
2018,West Virginia,WV,597149,1437430,0.009000000000000001,6757,3758,4287,14802,NA,1409691,0.4236,0.4154,midterm
2018,Wisconsin,WI,2675000,4540190,0.0305,23595,24458,21015,69068,NA,4332646,0.6174000000000001,0.5892000000000001,midterm
2018,Wyoming,WY,205275,443716,0.025099999999999997,2488,3068,934,6490,NA,426089,0.4818,0.46260000000000007,midterm
2016,Alabama,AL,2134061,3770952,0.025,28680,52177,8562,66983,NA,3609696,0.5912000000000001,0.5659000000000001,presidential
2016,Alaska,AK,321271,554526,0.040999999999999995,4317,6621,1812,9903,NA,521888,0.6156,0.5794,presidential
2016,Arizona,AZ,2661497,5347427,0.094,37582,77373,7500,89185,NA,4755584,0.5597,0.49770000000000003,presidential
2016,Arkansas,AR,1137772,2287921,0.038,17242,30881,23792,58636,NA,2142344,0.5311,0.4973,presidential
2016,California,CA,14610509,30130155,0.16399999999999998,130390,0,0,130390,NA,25058420,0.5831,0.4849,presidential
2016,Colorado,CO,2859216,4301685,0.07,18576,0,10186,28762,NA,3971805,0.7199000000000001,0.6647,presidential
2016,Connecticut,CT,1675955,2827488,0.078,14475,0,3379,17854,NA,2589090,0.6473,0.5927,presidential
2016,Delaware,DE,445228,748217,0.057,6254,15395,387,15416,NA,690153,0.6451,0.5951,presidential
2016,District of Columbia,DC,312575,565352,0.084,0,0,0,0,NA,517863,0.6036,0.5529000000000001,presidential
2016,Florida,FL,9580489,16533216,0.105,92847,214066,4566,219431,NA,14577798,0.6572,0.5794999999999999,presidential
2016,Georgia,GA,4165405,7831741,0.07200000000000001,51092,410964,22386,307727,NA,6960129,0.5984999999999999,0.5319,presidential
2016,Hawaii,HI,437664,1120762,0.091,5474,0,0,5474,NA,1013299,0.43190000000000006,0.39049999999999996,presidential
